Price,Date,Close,High,Low,Open,Volume
881,2024-06-12,58901.171875,59233.19368175238,57772.28687379878,58037.90664596707,3363002
882,2024-06-13,58701.953125,59166.79062673556,58701.953125,59033.97880397,2578725
883,2024-06-14,58104.3125,59166.791587603526,58104.3125,58768.35999078022,3710739
884,2024-06-17,57838.69140625,58303.52502696722,57838.69140625,58170.71320508008,3533731
885,2024-06-18,57838.69140625,58768.35864768443,57838.69140625,58104.31117208039,2109295
886,2024-06-19,57506.6640625,58104.30948778009,57440.25815348138,57971.49766974284,3430277
887,2024-06-20,57108.234375,57506.6659643448,56842.61460808477,57506.6659643448,4064821
888,2024-06-21,57108.234375,57573.07187555958,56776.21257481388,57174.64028621478,2766461
889,2024-06-24,56776.2109375,58037.903824476656,56776.2109375,57108.23272811127,3274012
890,2024-06-25,56776.2109375,57573.070215265856,56776.2109375,56909.01887815575,2371090
891,2024-06-26,56576.99609375,57307.4533773967,56576.99609375,57041.8336046008,2581951
892,2024-06-27,56576.99609375,57108.235639341794,56576.99609375,56576.99609375,2202407
893,2024-06-28,56576.99609375,57108.235639341794,56444.18814632404,57108.235639341794,1752812
894,2024-07-01,57174.640625,57241.04653660826,56576.99517641343,56975.42676811911,1837848
895,2024-07-02,58569.14453125,58967.57223924442,57241.04570802883,57573.071383320086,3790348
896,2024-07-03,58768.359375,58901.17119853081,58303.52574853002,58436.3336941169,3439815
897,2024-07-04,58436.33203125,59565.21698736258,58436.33203125,58834.76361256072,4739882
898,2024-07-05,58436.33203125,59233.191315927616,58436.33203125,58502.73794112576,2837151
899,2024-07-08,57905.09375,58901.17078566737,57905.09375,58436.3332845117,1874655
900,2024-07-09,58502.73828125,58701.95213409164,57573.07104935977,58104.31057556671,2390818
901,2024-07-10,58834.765625,59233.193341995095,58436.33403006096,58635.55176650245,47590424
902,2024-07-11,58502.73828125,59033.97780745694,58502.73828125,58834.76395461529,2484848
903,2024-07-12,58170.7109375,58834.762265162215,58170.7109375,58569.14250968608,2816952
